,Date,Duration,Pulse,Maxpulse,Calories,Hour
80,,30,159,182,1.0,0.5
81,,45,149,169,1.0,0.75
82,,30,103,139,1.0,0.5
83,,120,100,130,1.0,2.0
84,,45,100,120,1.0,0.75
85,,30,151,170,1.0,0.5
86,,45,102,136,1.0,0.75
87,,120,100,157,1.0,2.0
88,,45,129,103,1.0,0.75
89,,20,83,107,50.3,0.3333333333333333
90,,180,101,127,1.0,3.0
91,,45,107,137,,0.75
92,,30,90,107,1.0,0.5
93,,15,80,100,50.5,0.25
94,,20,150,171,1.0,0.3333333333333333
95,,20,151,168,1.0,0.3333333333333333
96,,30,95,128,1.0,0.5
97,,25,152,168,1.0,0.4166666666666667
98,,30,109,131,1.0,0.5
99,,90,93,124,1.0,1.5
100,,20,95,112,77.7,0.3333333333333333
101,,90,90,110,1.0,1.5
102,,90,90,100,1.0,1.5
103,,90,90,100,1.0,1.5
104,,30,92,108,92.7,0.5
105,,30,93,128,1.0,0.5
106,,180,90,120,1.0,3.0
107,,30,90,120,86.2,0.5
108,,90,90,120,1.0,1.5
109,,210,137,184,1.0,3.5
110,,60,102,124,1.0,1.0
111,,45,107,124,1.0,0.75
112,,15,124,139,1.0,0.25
113,,45,100,120,1.0,0.75
114,,60,108,131,1.0,1.0
115,,60,108,151,1.0,1.0
116,,60,116,141,1.0,1.0
117,,60,97,122,1.0,1.0
118,,60,105,125,,1.0
119,,60,103,124,1.0,1.0
120,,30,112,137,1.0,0.5
121,,45,100,120,1.0,0.75
122,,60,119,169,1.0,1.0
123,,60,107,127,1.0,1.0
124,,60,111,151,1.0,1.0
125,,60,98,122,1.0,1.0
126,,60,97,124,1.0,1.0
127,,60,109,127,1.0,1.0
128,,90,99,125,1.0,1.5
129,,60,114,151,1.0,1.0
130,,60,104,134,1.0,1.0
131,,60,107,138,1.0,1.0
132,,60,103,133,1.0,1.0
133,,60,106,132,1.0,1.0
134,,60,103,136,1.0,1.0
135,,20,136,156,1.0,0.3333333333333333
136,,45,117,143,1.0,0.75
137,,45,115,137,1.0,0.75
138,,45,113,138,1.0,0.75
139,,20,141,162,1.0,0.3333333333333333
140,,60,108,135,1.0,1.0
141,,60,97,127,,1.0
142,,45,100,120,1.0,0.75
143,,45,122,149,1.0,0.75
144,,60,136,170,1.0,1.0
145,,45,106,126,1.0,0.75
146,,60,107,136,1.0,1.0
147,,60,112,146,1.0,1.0
148,,30,103,127,1.0,0.5
149,,60,110,150,1.0,1.0
150,,60,106,134,1.0,1.0
151,,60,109,129,1.0,1.0
152,,60,109,138,1.0,1.0
153,,30,150,167,1.0,0.5
154,,60,105,128,1.0,1.0
155,,60,111,151,1.0,1.0
156,,60,97,131,1.0,1.0
157,,60,100,120,1.0,1.0
158,,60,114,150,1.0,1.0
159,,30,80,120,1.0,0.5
160,,30,85,120,1.0,0.5
161,,45,90,130,1.0,0.75
162,,45,95,130,1.0,0.75
163,,45,100,140,1.0,0.75
164,,60,105,140,1.0,1.0
165,,60,110,145,1.0,1.0
166,,60,115,145,1.0,1.0
167,,75,120,150,1.0,1.25
168,,75,125,150,1.0,1.25
